2025-01-24 21:55:57.835 | INFO     | utils.utils_logger:<module>:38 - Logging to file: logs\project_log.log
2025-01-24 21:55:57.837 | INFO     | __main__:main:115 - START producer.
2025-01-24 21:55:57.837 | INFO     | utils.utils_producer:get_zookeeper_address:57 - Zookeeper address: localhost:2181
2025-01-24 21:55:57.841 | INFO     | utils.utils_producer:check_zookeeper_service_is_ready:79 - Zookeeper is ready at localhost:2181.
2025-01-24 21:55:57.841 | INFO     | utils.utils_producer:get_kafka_broker_address:50 - Kafka broker address: localhost:9092
2025-01-24 21:55:58.153 | INFO     | utils.utils_producer:check_kafka_service_is_ready:98 - Kafka is ready. Brokers: {'throttle_time_ms': 0, 'brokers': [{'node_id': 1001, 'host': 'localhost', 'port': 9092, 'rack': None}], 'cluster_id': 'b_YEc9_mSjyM5tN5MA9yMQ', 'controller_id': 1001}
2025-01-24 21:55:58.154 | INFO     | __main__:get_kafka_topic:41 - Kafka topic: buzzline
2025-01-24 21:55:58.155 | INFO     | __main__:get_message_interval:48 - Message interval: 1 seconds
2025-01-24 21:55:58.155 | INFO     | utils.utils_producer:get_kafka_broker_address:50 - Kafka broker address: localhost:9092
2025-01-24 21:55:58.155 | INFO     | utils.utils_producer:create_kafka_producer:146 - Connecting to Kafka broker at localhost:9092...
2025-01-24 21:55:58.260 | INFO     | utils.utils_producer:create_kafka_producer:151 - Kafka producer successfully created.
2025-01-24 21:55:58.260 | INFO     | utils.utils_producer:get_kafka_broker_address:50 - Kafka broker address: localhost:9092
2025-01-24 21:55:58.571 | INFO     | utils.utils_producer:create_kafka_topic:172 - Topic 'buzzline' already exists. Clearing it out...
2025-01-24 21:55:58.572 | INFO     | utils.utils_producer:get_kafka_broker_address:50 - Kafka broker address: localhost:9092
2025-01-24 21:55:58.886 | ERROR    | utils.utils_producer:clear_kafka_topic:235 - Error managing retention for topic 'buzzline': list indices must be integers or slices, not ConfigResource
2025-01-24 21:55:58.887 | INFO     | __main__:main:131 - Kafka topic 'buzzline' is ready.
2025-01-24 21:55:58.887 | INFO     | __main__:main:137 - Starting message production to topic 'buzzline'...
2025-01-24 21:55:58.887 | INFO     | __main__:generate_messages:89 - Generated buzz: The Denver Nuggets are going to reclaim the title this year
2025-01-24 21:55:58.888 | INFO     | __main__:generate_messages:91 - Sent message to topic 'buzzline': The Denver Nuggets are going to reclaim the title this year
2025-01-24 21:55:59.888 | INFO     | __main__:generate_messages:89 - Generated buzz: Go KC Chiefs, yeah!!!
2025-01-24 21:55:59.888 | INFO     | __main__:generate_messages:91 - Sent message to topic 'buzzline': Go KC Chiefs, yeah!!!
2025-01-24 21:56:00.889 | INFO     | __main__:generate_messages:89 - Generated buzz: The Timberwolves aren't down and out, yet. They'll bounce back
2025-01-24 21:56:00.889 | INFO     | __main__:generate_messages:91 - Sent message to topic 'buzzline': The Timberwolves aren't down and out, yet. They'll bounce back
2025-01-24 21:56:01.891 | INFO     | __main__:generate_messages:89 - Generated buzz: The Jazz will have a comeback season next year!
2025-01-24 21:56:01.891 | INFO     | __main__:generate_messages:91 - Sent message to topic 'buzzline': The Jazz will have a comeback season next year!
2025-01-24 21:56:02.892 | INFO     | __main__:generate_messages:89 - Generated buzz: The Knicks are going to win it all
